ID,abort,church,gay,imm,tax,temp
861,1,1,1,1,0,1
862,0,0,1,1,1,1
863,0,0,0,0,0,0
864,0,0,0,1,1,1
865,1,0,1,1,1,0
866,1,1,0,1,1,1
867,0,0,0,1,0,1
868,1,1,0,1,0,0
869,0,0,0,1,1,0
870,0,1,0,1,1,1
871,1,1,0,1,1,0
872,1,1,0,1,1,1
873,0,0,0,0,0,0
874,0,0,0,0,0,1
875,1,1,1,1,1,1
876,1,0,0,1,1,1
877,1,1,1,1,1,1
879,1,1,1,1,1,1
881,0,0,1,0,1,1
883,0,0,0,1,0,0
884,0,0,1,1,1,1
885,0,1,0,1,1,1
886,0,0,0,1,0,1
887,0,0,0,1,1,0
889,0,0,0,1,0,0
890,0,1,1,1,0,0
892,1,1,1,0,0,1
893,1,1,1,0,1,1
894,0,1,1,1,1,0
895,1,1,1,1,1,1
896,0,0,1,1,1,1
897,0,0,0,0,0,0
899,0,0,0,1,0,0
900,1,0,1,1,1,1
901,1,1,1,1,1,1
903,0,0,0,1,0,0
904,1,0,1,1,1,1
905,1,1,1,1,1,1
906,0,0,0,1,1,0
907,0,0,1,1,0,1
908,1,1,1,1,1,1
909,1,1,1,1,1,1
910,1,1,1,1,1,1
912,0,0,1,1,1,1
913,0,0,0,0,0,0
914,0,0,0,0,0,0
915,1,1,1,1,1,1
917,0,0,1,1,1,1
918,1,0,1,0,1,1
919,1,1,1,1,1,0
920,1,1,1,1,0,1
921,1,1,1,1,1,1
922,0,1,1,0,0,0
923,0,1,0,0,0,0
924,0,0,0,0,0,0
925,1,1,1,1,1,1
926,1,1,1,1,1,1
927,0,0,0,0,0,0
929,1,0,1,1,1,1
930,0,0,1,0,0,1
931,0,0,0,1,1,1
932,0,1,0,0,1,0
933,0,0,0,1,1,0
936,1,0,1,1,0,0
938,1,0,1,1,1,1
939,1,0,1,1,0,1
940,0,0,0,1,1,0
941,1,0,1,1,0,0
942,0,0,1,1,1,1
943,1,0,1,0,1,1
944,0,0,1,1,0,0
946,1,1,1,1,1,1
949,1,1,1,1,0,0
950,0,0,1,1,1,1
951,0,1,0,1,0,1
952,0,0,0,0,0,0
953,0,1,0,1,0,0
954,0,1,1,1,0,0
955,0,0,0,1,1,0
956,1,1,1,1,1,1
957,1,1,1,1,1,1
958,0,1,1,1,0,0
959,0,1,1,0,1,0
961,0,1,1,0,1,1
962,1,0,1,1,1,1
963,1,0,1,1,0,1
964,0,1,1,0,0,0
966,1,0,1,1,0,1
967,0,1,1,0,1,0
968,0,0,1,1,1,1
969,0,0,0,0,0,0
970,1,1,1,1,1,1
971,1,0,1,1,1,1
972,0,0,0,0,0,0
973,1,0,1,1,1,1
974,1,0,1,0,0,0
976,0,0,1,1,1,1
978,0,1,0,0,0,0
981,0,0,0,0,0,0
983,0,0,0,1,1,0
984,1,1,0,0,0,1
985,1,1,1,1,1,1
986,0,0,1,1,1,1
987,1,1,1,1,1,0
988,0,0,1,1,0,1
989,1,1,1,0,1,1
990,1,0,1,1,0,1
991,1,0,1,1,1,1
992,1,1,1,1,1,1
994,1,0,1,0,1,1
995,0,0,1,1,0,0
996,0,0,0,0,0,0
997,1,1,0,1,1,1
998,0,1,1,0,0,0
999,1,0,1,1,1,0
1000,1,1,1,0,1,1
1001,0,0,0,0,1,1
1003,1,0,1,1,1,1
1005,1,0,1,1,1,0
1006,0,0,0,1,0,0
1007,0,0,0,1,1,0
1008,1,0,1,1,1,1
1009,0,0,0,1,1,1
1010,0,0,0,0,0,0
1011,1,1,0,1,0,0
1012,0,0,0,0,0,0
1013,0,0,0,0,0,0
1014,1,1,1,1,1,1
1016,0,0,0,0,0,0
1017,0,0,0,0,1,1
1018,1,1,1,1,1,1
1019,0,0,0,0,1,1
1020,1,1,1,1,1,1
1021,0,1,1,1,1,1
1022,1,1,1,1,1,1
1023,0,0,0,1,0,0
1024,1,1,1,1,1,1
1025,0,0,0,1,0,0
1027,0,0,0,0,0,0
1028,0,0,0,1,0,1
1029,1,1,1,1,0,1
1032,1,1,1,0,0,0
1033,1,1,1,1,1,1
1034,1,1,1,1,0,0
1036,0,0,0,1,0,1
1037,1,1,1,1,1,1
1038,1,1,1,1,1,1
1039,0,1,1,0,1,0
1040,0,0,1,1,1,1
1041,0,1,1,1,0,0
1042,0,0,0,1,0,0
1043,0,1,0,0,0,0
1044,0,0,0,0,0,0
1045,1,1,1,0,1,1
1047,1,0,1,1,1,1
1048,0,0,0,0,0,0
1049,0,0,0,1,0,0
1050,1,0,1,1,0,1
1051,0,0,0,1,0,0
1052,0,0,0,0,0,0
1053,1,1,1,1,1,1
1054,0,1,0,1,0,0
1055,1,1,1,1,1,0
1056,1,1,1,1,1,1
1057,1,1,1,1,1,1
1058,0,1,0,0,0,0
1059,0,0,0,0,1,0
1060,0,0,1,1,1,0
1061,1,1,1,1,1,1
1062,1,0,1,1,0,1
1063,1,0,1,1,0,1
1064,1,1,1,1,1,1
1065,1,1,1,1,1,1
1066,0,1,1,1,0,0
1068,0,0,0,1,0,0
1069,1,1,0,0,1,1
1070,0,1,1,1,1,1
1071,0,0,1,0,0,1
1072,0,1,0,1,0,1
1073,1,0,0,0,0,0
1074,0,0,0,1,0,0
1075,1,1,1,1,1,1
1076,0,1,1,1,1,1
1077,0,1,0,1,1,1
1080,0,0,1,1,0,1
1081,0,1,0,0,0,1
1082,0,0,0,1,1,0
1083,0,0,0,0,0,0
1084,0,0,1,1,0,0
1085,0,1,0,0,0,0
1086,0,0,0,0,1,0
1087,1,0,1,1,1,1
1088,0,1,1,1,1,1
1090,0,1,1,0,1,1
1093,1,1,1,1,0,1
1094,1,0,1,0,1,0
1096,0,0,0,0,0,0
1097,0,0,0,1,1,1
1098,0,1,0,1,0,1
1099,1,1,1,1,1,1
1100,1,1,1,1,1,1
1101,1,1,1,1,1,1
1102,0,0,0,1,1,0
1103,1,0,1,1,1,1
1104,1,1,1,1,1,1
1106,1,1,1,1,1,1
1107,0,0,0,1,1,0
1108,1,0,1,1,0,1
1109,1,0,1,1,1,1
1110,0,0,0,0,1,1
1111,0,1,1,0,1,1
1112,0,1,0,1,0,0
1113,1,1,1,1,1,1
1114,0,1,1,0,0,0
1115,1,1,1,1,1,1
1116,0,0,0,0,1,0
1117,1,1,1,1,1,1
1118,0,0,1,1,1,1
1119,1,1,1,1,0,1
1120,0,1,0,0,0,0
1121,0,0,0,0,1,0
1122,0,1,1,1,1,1
1123,0,0,1,1,1,1
1125,1,1,1,1,1,1
1126,0,0,0,1,0,0
1127,1,0,1,1,1,1
1128,1,0,1,0,0,0
1129,0,1,1,1,1,1
1130,1,1,1,1,1,1
1131,1,0,1,1,1,1
1132,1,1,1,1,1,1
1134,1,0,1,1,1,1
1135,0,0,1,1,1,1
1136,0,1,1,0,0,0
1137,0,1,1,1,0,0
1139,0,1,0,0,1,1
1140,1,1,1,1,1,1
1141,1,0,1,0,0,0
1142,1,0,1,1,1,0
1143,1,1,1,1,1,1
1144,0,1,1,1,0,0
1145,1,0,1,1,1,1
1146,0,1,0,1,0,0
1147,0,0,0,0,1,0
1148,1,0,1,1,1,1
1149,0,0,1,1,1,1
1150,1,1,0,1,0,0
1152,1,1,1,1,1,1
1154,1,0,1,1,1,1
1156,0,0,0,0,0,0
1157,1,1,1,1,0,0
1158,0,1,1,0,1,0
1159,1,0,1,1,1,1
1160,1,0,1,0,1,1
1161,1,1,1,1,1,1
1162,0,0,0,1,1,0
1163,1,1,0,1,1,0
1164,0,0,1,1,1,1
1165,0,1,1,1,0,0
1166,1,1,1,1,1,1
1167,1,1,1,1,1,1
1169,1,1,1,1,1,1
1171,0,0,1,0,1,0
1172,0,0,0,1,1,0
1173,0,0,0,0,0,0
1174,0,0,0,1,0,1
1175,0,0,0,1,1,1
1176,1,1,1,1,1,1
1178,1,1,1,1,1,1
1179,0,0,0,1,1,0
1180,1,1,1,0,1,1
1181,0,0,0,1,1,1
1182,1,1,1,1,1,1
1183,1,1,1,0,1,1
1184,0,0,0,1,0,0
1185,0,1,0,1,1,0
1186,0,1,1,1,1,1
1187,1,0,1,1,0,0
1188,0,0,1,1,1,1
1189,0,1,1,1,1,1
1191,0,0,0,1,0,0
1192,1,1,1,0,1,1
1193,0,0,1,0,1,1
1194,0,0,0,1,0,0
1195,1,1,1,1,1,1
1196,1,0,1,1,1,1
1197,0,1,0,0,1,1
1198,1,0,1,0,1,1
1199,1,0,1,0,1,0
1200,1,1,1,1,1,1
1201,0,0,0,0,0,0
