ID,abort,church,gay,imm,tax,temp
0,0,0,0,1,1,0
1,1,1,0,0,1,1
2,0,0,0,1,0,0
3,1,0,0,1,1,1
4,1,0,1,1,0,1
5,0,1,1,1,1,0
6,1,0,1,1,0,1
8,0,0,0,0,1,0
9,1,0,1,1,1,1
11,1,1,1,0,1,0
12,0,0,0,1,1,0
14,1,0,0,1,1,0
15,1,0,0,1,1,0
16,0,1,0,0,0,0
17,0,0,1,0,1,0
18,0,0,1,0,1,0
19,1,1,1,1,1,1
20,1,0,0,1,1,0
22,0,0,0,0,0,0
23,0,0,1,1,1,0
25,0,1,1,0,0,0
27,1,0,1,0,0,0
28,0,0,1,0,1,0
29,1,0,1,1,1,1
30,0,0,1,1,1,1
31,0,0,0,1,1,0
32,0,0,0,1,1,1
33,0,0,0,0,1,0
34,1,1,1,1,1,1
40,1,0,1,1,1,1
41,0,1,1,0,1,0
42,1,0,0,1,1,0
44,0,0,1,0,1,0
45,1,0,1,1,0,0
46,1,1,1,1,1,1
47,0,1,1,1,1,1
48,0,0,0,1,0,1
52,1,0,1,1,1,1
53,0,0,1,1,1,1
54,0,0,0,0,0,0
55,1,0,0,1,1,1
56,1,0,1,1,1,1
57,0,0,0,1,0,0
58,0,0,1,1,1,0
60,0,0,1,1,1,0
61,1,1,1,0,1,1
62,1,1,1,1,1,1
63,0,1,1,1,1,0
64,1,0,1,1,1,1
65,1,1,1,1,1,1
67,0,0,0,1,0,0
68,1,0,0,1,1,0
69,0,1,1,1,0,1
70,1,0,1,1,1,1
71,0,0,1,1,1,1
72,0,0,1,1,1,1
73,1,1,1,1,0,0
74,1,1,1,1,1,0
75,0,1,0,0,0,0
76,1,0,1,1,1,1
82,1,1,1,1,1,1
83,1,0,1,1,1,0
84,0,0,0,0,0,0
86,1,1,1,1,1,1
87,0,0,0,1,1,1
88,1,1,1,0,1,0
90,1,1,1,1,1,1
92,1,0,1,1,1,1
93,1,1,1,1,1,1
94,1,0,0,0,0,0
95,1,1,0,1,1,1
96,0,0,1,0,0,0
97,1,1,0,0,1,0
98,0,0,0,1,1,0
99,1,1,1,1,1,1
100,0,1,1,1,1,1
101,1,0,1,1,0,0
102,0,0,1,1,0,0
103,0,0,0,0,0,0
104,0,0,0,1,1,1
109,1,1,1,1,1,0
110,0,0,0,0,1,1
112,1,0,0,0,0,0
114,1,1,1,1,1,1
115,0,0,0,0,0,0
116,1,0,1,1,1,1
117,0,0,0,0,0,0
118,0,0,1,1,1,0
119,0,0,0,0,0,0
120,1,1,1,1,0,1
121,0,0,0,1,0,0
122,0,0,0,1,0,0
123,1,0,0,1,0,0
124,1,1,1,0,1,0
125,0,0,0,0,1,0
126,0,0,1,1,0,0
127,1,1,1,1,1,1
128,0,0,0,1,0,0
129,0,1,1,1,0,0
130,0,0,0,1,1,1
131,0,0,0,1,0,0
132,1,1,1,1,1,1
133,1,1,0,1,1,0
134,1,1,1,1,1,1
136,0,0,0,1,0,0
137,0,0,0,1,1,0
138,1,0,1,1,1,1
