gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
marry,marry,stay,stay,right,more,exceptions,choice
marry,marry,citizen,citizen,more,more,choice,choice
no,union,citizen,stay,more,right,choice,exceptions
union,union,restrict,restrict,,more,choice,choice
union,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,no,citizen,stay,more,right,never,never
marry,marry,citizen,citizen,more,more,choice,choice
union,union,stay,citizen,more,more,choice,choice
,marry,stay,stay,,right,choice,choice
union,marry,deport,deport,less,right,need,choice
marry,marry,stay,stay,more,more,exceptions,exceptions
marry,marry,stay,stay,less,right,exceptions,choice
union,union,stay,deport,less,right,exceptions,exceptions
no,union,stay,stay,less,right,never,never
no,no,stay,restrict,more,right,need,need
union,union,stay,stay,right,right,never,never
marry,marry,stay,stay,more,more,choice,choice
union,union,stay,deport,right,less,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,right,never,choice
marry,marry,citizen,citizen,less,,choice,choice
marry,marry,deport,restrict,,more,choice,need
marry,marry,deport,deport,,more,exceptions,exceptions
no,no,deport,citizen,more,more,choice,choice
marry,marry,stay,stay,right,more,choice,choice
union,marry,stay,deport,more,right,need,exceptions
,marry,stay,stay,more,more,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,union,stay,stay,right,more,need,choice
union,no,stay,deport,right,less,exceptions,never
marry,marry,citizen,stay,right,more,exceptions,choice
marry,marry,stay,stay,right,right,exceptions,exceptions
marry,union,deport,stay,right,right,exceptions,exceptions
union,union,stay,restrict,more,right,exceptions,
marry,marry,stay,stay,right,more,need,exceptions
union,union,stay,stay,less,right,never,never
marry,marry,stay,citizen,more,more,need,need
marry,marry,stay,stay,right,more,choice,choice
marry,marry,deport,deport,more,right,exceptions,exceptions
marry,no,stay,stay,more,more,choice,exceptions
marry,marry,citizen,citizen,right,more,exceptions,choice
marry,marry,stay,stay,right,right,choice,choice
union,union,restrict,restrict,less,less,never,
marry,marry,stay,stay,more,more,choice,need
union,union,deport,deport,right,right,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,need
marry,union,stay,stay,right,more,choice,choice
marry,marry,restrict,stay,right,more,exceptions,exceptions
marry,marry,stay,stay,more,more,need,need
union,marry,deport,deport,more,more,choice,choice
marry,marry,deport,stay,more,less,choice,exceptions
union,marry,stay,stay,more,more,choice,choice
no,no,deport,restrict,,right,never,never
union,union,restrict,stay,less,less,exceptions,exceptions
no,union,deport,restrict,less,less,exceptions,exceptions
marry,marry,restrict,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,need,choice
no,no,deport,stay,less,less,never,
union,union,deport,deport,right,right,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
no,no,restrict,deport,,right,exceptions,exceptions
marry,marry,stay,restrict,more,more,choice,choice
marry,marry,stay,deport,right,less,exceptions,choice
union,union,stay,restrict,right,more,exceptions,exceptions
union,union,stay,stay,more,more,choice,
no,marry,deport,stay,less,right,exceptions,exceptions
union,marry,stay,restrict,right,more,need,exceptions
no,no,stay,citizen,right,right,never,never
marry,marry,restrict,citizen,more,more,choice,choice
marry,union,stay,stay,less,right,choice,need
marry,marry,stay,citizen,more,more,choice,need
union,no,restrict,stay,right,more,exceptions,exceptions
no,no,deport,stay,right,right,exceptions,never
marry,marry,stay,stay,more,more,need,need
marry,no,stay,stay,more,more,never,need
marry,union,stay,restrict,right,more,choice,choice
marry,marry,restrict,restrict,right,more,choice,choice
union,no,stay,stay,less,less,need,need
marry,marry,deport,stay,more,right,choice,choice
marry,marry,citizen,citizen,more,more,need,choice
no,marry,stay,restrict,,more,exceptions,need
union,marry,stay,stay,less,right,need,never
union,marry,restrict,restrict,right,right,need,exceptions
marry,marry,stay,deport,right,more,choice,choice
marry,marry,citizen,stay,less,more,never,need
marry,marry,stay,stay,right,more,need,choice
union,no,deport,deport,right,right,need,exceptions
marry,union,stay,stay,more,more,need,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,no,citizen,citizen,more,more,exceptions,choice
,no,stay,stay,right,right,exceptions,exceptions
marry,,stay,stay,less,right,choice,exceptions
